video_id,url,title,channel_name,published_at,view_count,persons_found,total_persons
8szAkDLWp-M,https://youtu.be/8szAkDLWp-M,Martin Scorsese Breaks Down His Most Iconic Films | GQ,GQ,2023-09-25T16:00:11Z,2447190,Martin Scorsese,1
019v7dFZpXs,https://youtu.be/019v7dFZpXs,Chris Evans and Michael Cera had the same vibes about Scott Pilgrim,GQ,2023-09-22T16:00:17Z,1744392,Chris Evans,1
ZnXfhveyxj8,https://youtu.be/ZnXfhveyxj8,10 Things Olivia Rodrigo Can't Live Without | GQ,GQ,2023-09-22T16:00:03Z,2982562,Olivia Rodrigo,1
tT7IQe_i3N8,https://youtu.be/tT7IQe_i3N8,Chris Evans Breaks Down His Most Iconic Characters | GQ,GQ,2023-09-19T12:00:04Z,4815469,Chris Evans,1
JU1_ct_Yfxs,https://youtu.be/JU1_ct_Yfxs,10 Things 'Power' Actor Joseph Sikora Can't Live Without | GQ,GQ,2023-09-04T16:00:02Z,273649,Martin Scorsese,1
aNJ_JPkbH2M,https://youtu.be/aNJ_JPkbH2M,KEN Things Ryan Gosling Can't Live Without | GQ,GQ,2023-07-17T12:00:01Z,4946848,Ryan Gosling,1
1FaQKqWxoNs,https://youtu.be/1FaQKqWxoNs,Harrison Ford Had MANY Questions Before Starring As #IndianaJones,GQ,2023-07-11T18:00:03Z,241208,Harrison Ford,1
5sX0gWg1qm4,https://youtu.be/5sX0gWg1qm4,"Hairstylist Breaks Down Celebrity Braids (A$AP Rocky, Drake, Rihanna) | GQ",GQ,2023-07-07T16:00:06Z,201082,Travis Scott,1
aKze-sfm730,https://youtu.be/aKze-sfm730,"Jeweler Critiques Celebrity Watch Collections (Pharrell, Jay-Z, Drake, Rihanna & More) | GQ",GQ,2023-06-27T16:00:21Z,1162862,Tom Cruise,1
R5Mrbc757vQ,https://youtu.be/R5Mrbc757vQ,Niall Horan Replies to Fans on the Internet | Actually Me | GQ,GQ,2023-06-09T16:00:08Z,320009,Blake Shelton,1
